"Product Image","பொருள் படம்"
"Product Type","பொருளின் வகை "
"Product URL","பொருளுக்கான  இணையத்தள முகவரி "
"Product Website","பொருளுக்கான  இணையத்தளம்"
"Product and Custom Options Name","பொருளுக்கான தனிபயன் விருப்பங்கள் பெயர்"
"Qty","அளவு"
"Qty Increments","அளவு அதிகரிப்பில்"
"Qty Uses Decimals","அளவில்  தசமங்கள் பயன்படுத்தபடுகின்றன"
"Qty for Item's Status to Become Out of Stock","""பொருள் இன்னும் அளவு இருப்பு இல்லை"" என்ற நிலை  ஆவதற்க்கான அளவு "
"REST - Attributes","ரெஸ்ட் - பண்புகள் "
"REST - Roles","ரெஸ்ட் - பாத்திரங்கள் "
"REST ACL Attributes","ரெஸ்ட் ACL பண்புகள் "
"REST Attributes","ரெஸ்ட் பண்புகள் "
"REST Role","ரெஸ்ட் - பாத்திரம்"
"REST Roles","ரெஸ்ட் பாத்திரங்கள் "
"REST Roles Information","ரெஸ்ட் பாத்திரங்களை பற்றிய தகவல்கள் "
"Read","படி "
"Refunded Qty","திருப்பியளிக்கப்பட்ட அளவு "
"Regular Price With Tax","வரி  உள்ளடக்கிய வழக்கமான விலை"
"Regular Price Without Tax","வரி  விளக்கிய வழக்கமான விலை"
"Rest Roles","ரெஸ்ட் பாத்திரங்கள் "
"Retrieve","திரும்பி பெறு"
"Role ""%s"" no longer exists","%s  பாத்திரங்கள் தற்போது உபயோகத்தில் இல்லை "
"Role ""%s"" not found.","""% s"" பாத்திரங்கள்  காணப்படவில்லை."
"Role API Resources","பாத்திரங்களின்  API ரீசௌர்செஸ் "
"Role Info","பாத்திரம் பற்றிய தகவல்"
"Role Information","செயல்பங்கு  தகவல்கள்"
"Role Name","செயல்பங்கு பெயர்"
"Role Users","செயல்பங்கு பயனாளர்கள் "
"Role has been deleted.","செயல்பங்கு நீக்கப்பட்டது "
"Roles","செயல்பங்கு "
"SKU","ஸ்கு "
"Salability Status","விற்பனை நிலைமை "
"Sales","விற்பனை "
"Save","சேமி"
"Shipped Qty","ஷிப்பிங் அளவு "
"Shipping Amount","ஷிப்பிங் தொகை "
"Shipping Discount","ஷிப்பிங் தள்ளுபடி "
"Shipping Including Tax","வரி உள்ளடக்கிய ஷிப்பிங் தொகை "
"Shipping Method","ஷிப்பிங் முறை "
"Shipping Tax","ஷிப்பிங் வரி"
"State","மாநிலம் "
"Stock Availability","ஸ்டாக்  கையிருப்பு "
"Stock ID","ஸ்டாக்  கையிருப்பு "
"Stock Item","ஸ்டாக் உருப்படி "
"Stock Status","ஸ்டாக் நிலைமை "
"Store Currency to Order Currency Rate","கடையின் ரூபாய் மதிப்பை ஆர்டரின் ருபாய் மதிப்பிற்கு மாற்றவும் "
"Store Name","கடை பெயர் "
"Street","தெரு"
"Subtotal","உட்தொகை"
"Subtotal Including Tax","உட்தொகை வரி உள்பட"
"System","முறை"
"Tax Amount","வரித்தொகை"
"Tax Name","வரிப்பெயர் "
"Tax Percent","வரி விழுக்காடு  "
"Tax Rate","வரி வீதம் "
"The ""enable_qty_increments"" field must be set to 0 or 1.","""Enable_qty_increments"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""is_decimal_divided"" field must be set to 0 or 1.","""is_decimal_divided"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""is_in_stock"" field must be set to 0 or 1.","""is_in_stock"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
